"x","y","z","var1.pred","var1.var","CU_original"
0,0,0,-0.00460593656386952,2.30392774071908e-06,0.757256959785707
1,0,0,-0.00315003880561239,2.01901043300826e-06,0.419940612770205
2,0,0,-0.00315253419913061,1.91174263742662e-06,0.420398185213614
3,0,0,-0.00260287788662302,1.85387216691021e-06,0.326279511665177
4,0,0,-0.00222812532151184,1.7623464059931e-06,0.268741332150597
5,0,0,-0.00248688126477986,1.7332545317957e-06,0.307953520268342
6,0,0,-0.00204535307003152,1.66019242798794e-06,0.242323656890591
7,0,0,-0.00161349475347609,1.62574777986565e-06,0.18363575846908
8,0,0,-0.00160929746489134,1.61229573612214e-06,0.183089062328676
9,0,0,-0.0016061897162676,1.60193896732449e-06,0.182684556218163
10,0,0,-0.00183682763419658,1.61229573612214e-06,0.213364868335589
11,0,0,-0.00216742342260856,1.63142273987737e-06,0.259855336521881
12,0,0,-0.00290849912331729,1.66486841352642e-06,0.377024364589602
13,0,0,-0.00321055027328907,1.70583545904837e-06,0.431122664942819
14,0,0,-0.00405895963097525,1.78729670809976e-06,0.610587394778378
15,0,0,-0.00416197791247712,1.88607536462265e-06,0.635932055938966
16,0,0,-0.00480695145095638,2.01832494800751e-06,0.820100569356626
17,0,0,-0.00482276976118598,2.05774229347396e-06,0.825298017571271
18,0,0,-0.00448901425696111,2.17380848725531e-06,0.723177300114457
19,0,0,-0.00376657329380149,2.24218634094854e-06,0.543342953268123
20,0,0,-0.00361565170286407,2.29528160616375e-06,0.5110371565642
21,0,0,-0.00381720326174659,2.37223920470928e-06,0.554528164294794
22,0,0,-0.00378444777676843,2.40774735498715e-06,0.54727114298025
23,0,0,-0.00463210861979774,2.31458761195219e-06,0.765121842057738
24,0,0,-0.0042530543637999,2.54264947216088e-06,0.659141338069901
25,0,0,-0.00422102506574871,2.70823159728477e-06,0.650889918749158
26,0,0,-0.00424202481916016,2.70801246260121e-06,0.656288741173114
27,0,0,-0.00432879924275866,2.70801246260121e-06,0.679056705982845
28,0,0,-0.00443586107691351,2.70801246260121e-06,0.708224650470186
29,0,0,-0.0039337067012416,2.55491127695069e-06,0.580975820907071
30,0,0,-0.00376400752289117,2.51815458025271e-06,0.542780915279309
31,0,0,-0.00385719960991913,2.49971672931826e-06,0.563494082085484
32,0,0,-0.00420675605233056,2.50347439585814e-06,0.647245459550078
33,0,0,-0.00414884697167558,2.49835284789347e-06,0.632649333942183
34,0,0,-0.00398822824088261,2.49299755868724e-06,0.593709670797722
35,0,0,-0.00379193534417993,2.47828304037008e-06,0.548923312917196
36,0,0,-0.00376231203325247,2.49271096891856e-06,0.542409765208447
37,0,0,-0.0038402686429139,2.46877374743356e-06,0.559684475926474
38,0,0,-0.00403896328979753,2.42456540282842e-06,0.605773933734653
39,0,0,-0.00421273180049835,2.4063435557275e-06,0.648769387538422
40,0,0,-0.00438721252547191,2.40934655507401e-06,0.694817719429636
41,0,0,-0.00457921340097281,2.39625853904098e-06,0.74931801530667
42,0,0,-0.00473646884911638,2.39625853904098e-06,0.79740711854275
43,0,0,-0.00266258621255556,2.37389893417535e-06,0.335905267883589
44,0,0,-0.000935477439614298,2.36762884393726e-06,0.100481085739673
45,0,0,-0.000896676211905052,2.41238173239132e-06,0.0960109940672851
46,0,0,-0.000924925705927155,2.45412917000527e-06,0.0992626202300784
47,0,0,-0.00117485588823532,2.47635426095846e-06,0.128714540168644
48,0,0,-0.00317065078504979,2.50816213723321e-06,0.423729275951203
49,0,0,-0.00249548408381783,2.53313778411744e-06,0.309296125124973
50,0,0,-0.00284117349193221,2.5504980338995e-06,0.365521769824667
51,0,0,-0.00102130732856388,2.70801246260121e-06,0.110472643066288
52,0,0,-8.91073511490908e-05,2.70801246260121e-06,0.00896839951113293
53,0,0,-6.30151781926366e-05,2.70740647926008e-06,0.00633028314392448
54,0,0,-3.7023702170132e-05,2.70672093632272e-06,0.00371227499206839
55,0,0,-3.33434729430853e-05,2.71339355337893e-06,0.00334237796778325
56,0,0,6.0284023384885e-05,2.63025845559694e-06,0
57,0,0,0,2.68865945761098e-06,0
58,0,0,0,2.63742114283328e-06,0
59,0,0,0,2.69595707699781e-06,0
60,0,0,0,2.73505814784459e-06,0
61,0,0,0,2.7734990287117e-06,0
62,0,0,0,2.84705374566375e-06,0
63,0,0,0,2.89917691587915e-06,0
64,0,0,0,2.90146540560537e-06,0
65,0,0,0,2.91888101491836e-06,0
66,0,0,0,2.96584084293119e-06,0
67,0,0,0,3.0413977422288e-06,0
68,0,0,0,3.12614768804538e-06,0
69,0,0,0,3.17325406299821e-06,0
70,0,0,0,3.23795927618389e-06,0
71,0,0,0,3.30191917585551e-06,0
72,0,0,0,3.39610602849811e-06,0
73,0,0,0,3.53894466103598e-06,0
74,0,0,0,3.61683218767735e-06,0
75,0,0,0,3.67347995554601e-06,0
76,0,0,0,3.84395363084922e-06,0
77,0,0,0,3.96541037871704e-06,0
0,1,0,-0.00259830980018024,2.00161471878089e-06,0.325548560101851
1,1,0,-0.00257013921040009,1.84952905164114e-06,0.321057887315362
2,1,0,-0.0020413285216577,1.75494334443434e-06,0.241753141225004
3,1,0,-0.0021427946857172,1.72876476084553e-06,0.256282259463944
4,1,0,-0.00184678852565444,1.61687465980191e-06,0.214720996195922
5,1,0,-0.00196625272010973,1.57173884726931e-06,0.231195709693637
6,1,0,-0.00186744454194254,1.51790773882184e-06,0.217541701053818
7,1,0,-0.00221933798479076,1.53404513203264e-06,0.2674478976176
8,1,0,-0.00365461665046802,1.68049671032835e-06,0.519234287424183
